EVS LdF 1981-2008 Variable name (ZA4804),EVS LdF 1981-2008 variable label (ZA4804),EVS 1981             ,EVS 1990        ,EVS 1999  ,EVS 2008 ,Thematic categories
S001,Study,,,,,Archive/ID Variables and Interview Characteristics
S002EVS,EVS-wave,,,,,Archive/ID Variables and Interview Characteristics
S002VS,EVS/WVS-wave,,,,,Archive/ID Variables and Interview Characteristics
S003,Country/region,country,country ,country,country,Archive/ID Variables and Interview Characteristics
S003A,Country/regions [with split ups],,country1,country1,country1,Archive/ID Variables and Interview Characteristics
S006,Original respondent number,caseno,caseno,caseno,caseno,Archive/ID Variables and Interview Characteristics
S007,Unified respondent number,id_cocas,id_cocas,id_cocas,id_cocas,Archive/ID Variables and Interview Characteristics
S007_01,Unified respondent number (EVS/WVS LF),,,,,Archive/ID Variables and Interview Characteristics
S008,Interviewer number,,,intno,intno,Archive/ID Variables and Interview Characteristics
S009,Country abbreviation,c_abrv,c_abrv,c_abrv,c_abrv,Archive/ID Variables and Interview Characteristics
S009A,Country abbreviation [with split ups],,c_abrv1,c_abrv1,c_abrv1,Archive/ID Variables and Interview Characteristics
S010,Total length of interview,,q739,o52_r,v374,Archive/ID Variables and Interview Characteristics
S010_01,Time of interview: start hour,,,,v373a,Archive/ID Variables and Interview Characteristics
S010_02,Time of interview: start minute,,,,v373b,Archive/ID Variables and Interview Characteristics
S010_03,Time of interview: end hour,,,,v374a,Archive/ID Variables and Interview Characteristics
S010_04,Time of interview: end minute,,,,v374b,Archive/ID Variables and Interview Characteristics
S011,Time at the end of interview,,,,v374c,Archive/ID Variables and Interview Characteristics
S012,Date interview,,,o50,v372,Archive/ID Variables and Interview Characteristics
S013,Respondent interested during the interview,,q741,o53,v375,Archive/ID Variables and Interview Characteristics
S014,Confidence respondent during the interview,v573,,,,Archive/ID Variables and Interview Characteristics
S015,On the whole respondent looked,v574,,,,Archive/ID Variables and Interview Characteristics
S016,Language in which interview was conducted,,language,language,v376,Archive/ID Variables and Interview Characteristics
S017,Weight,weight_g,weight_g,weight_g,weight_g ,Archive/ID Variables and Interview Characteristics
S017A,Weight [with split ups],,weight_s,weight_s,weight_s,Archive/ID Variables and Interview Characteristics
S020,Year survey,year,year,year,year,Archive/ID Variables and Interview Characteristics
S021,Country - wave - study - set - year,,,,,Archive/ID Variables and Interview Characteristics
S021A,Country - wave - study - set - year [with split ups],,,,,Archive/ID Variables and Interview Characteristics
S022,Year/month of start-fieldwork,v575,q744,v324,v377,Archive/ID Variables and Interview Characteristics
S023,Year/month of end-fieldwork,v576,q745,v325,v378,Archive/ID Variables and Interview Characteristics
S024,Country - wave,,,,,Archive/ID Variables and Interview Characteristics
S024A,Country - wave [with split ups],,,,,Archive/ID Variables and Interview Characteristics
S025,Country - year,cntry_y,cntry_y,cntry_y,cntry_y,Archive/ID Variables and Interview Characteristics
