,,,,,,,,
,,SUMMARY OF INTEGRATED VARIABLES BY COUNTRY,,,,,,
,,,,,,,,
INDEX,VARIABLE,LABEL,World Values Survey wave 1 (1981-1984),World Values Survey wave 2 (1990-1994),World Values Survey Wave 3 (1995-1998),World Values Survey wave 4 (1999-2004),World Values Survey wave 5 (2005-2008),World Values Survey wave 6 (2010-2012)
001,,"Perceptions of life 
", , , ,, , 
001_001,A001,"Important in life: Family 
", ,v5 Important in life: Family,V4 Importance in life: Family,v4 Family important,V4 Family important,V4 Important in life: Family
001_001_001,A001_CO,"Family important 
", , , , ,V4_CO Family important (Colombia), 
001_002,A002,"Important in life: Friends 
", ,v6 Important in life: Friends,V5 Importance in life: Friends,v5 Friends important,V5 Friends important,V5 Important in life: Friends
001_002_001,A002_CO,"Friends important 
", , , , ,V5_CO Friends important (Colombia), 
001_003,A003,"Important in life: Leisure time 
", ,v7 Important in life: Leisure time,V6 Importance in life: Leisure time,v6 Leisure time,V6 Leisure time,V6 Important in life: Leisure time
001_003_001,A003_CO,"Leisure time 
", , , , ,V6_CO Leisure time (Colombia), 
001_004,A004,"Important in life: Politics 
", ,v8 Important in life: Politics,V7 Importance in life: Politics,v7 Politics important,V7 Politics important,V7 Important in life: Politics
001_004_001,A004_CO,"Politics important 
", , , , ,V7_CO Politics important (Colombia), 
001_005,A005,"Important in life: Work 
", ,v4 Important in life: Work,V8 Importance in life: Work,v8 Work important,V8 Work important,V8 Important in life: Work
001_005_001,A005_CO,"Work important 
", , , , ,V8_CO Work important (Colombia), 
001_006,A006,"Important in life: Religion 
", ,v9 Important in life: Religion,V9 Importance in life: Religion,v9 Religion important,V9 Religion important,V9 Important in life: Religion
001_006_001,A006_CO,"Religion important 
", , , , ,V9_CO Religion important (Colombia), 
001_007,A007,"Service to others important in life 
", , , ,v10 Service to others, , 
001_008,A008,"Feeling of happiness 
",v10 Feeling of happiness,v18 Feeling of happiness,V10 Feeling of happiness,v11 State of mind,V10 Feeling of happiness,V10 Feeling of happiness
001_009,A009,"State of health (subjective) 
",v11 State of health (subjective),v83 State of health (subjective),V11 State of health,v12 State of health,V11 State of health (subjective),V11 State of health (subjective)
001_010,A010,"Ever felt very excited or interested 
", ,v84 Ever felt very excited or interested, , , , 
001_011,A011,"Ever felt restless 
", ,v85 Ever felt restless, , , , 
001_012,A012,"Ever felt proud because someone complimented you 
", ,v86 Ever felt proud because someone complimented you, , , , 
001_013,A013,"Ever felt very lonely or remote from other people 
", ,v87 Ever felt very lonely or remote from other people, , , , 
001_014,A014,"Ever felt pleased about having accomplished something 
", ,v88 Ever felt pleased about having accomplished something, , , , 
001_015,A015,"Ever felt bored 
", ,v89 Ever felt bored, , , , 
001_016,A016,"Ever felt on top of the world 
", ,v90 Ever felt on top of the world, , , , 
001_017,A017,"Ever felt depressed or very unhappy 
", ,v91 Ever felt depressed or very unhappy, , , , 
001_018,A018,"Ever felt that things were going your way 
", ,v92 Ever felt that things were going your way, , , , 
001_019,A019,"Ever felt upset because somebody criticized you 
", ,v93 Ever felt upset because somebody criticized you, , , , 
001_025,A025,"Respect and love for parents 
",v12 Respect and love for parents,v224 Respect and love for parents,V12 Respect and love for parents,v13 Respect parents, , 
001_026,A026,"Parents responsibilities to their children 
",v13 Parents responsibilities to their children,v225 Parents responsibilities to their children,V13 Parents responsibilities to their children,v14 Parents responsibilities, , 
001_027,A027,"Important child qualities: good manners 
",v14 Important child qualities: good manners,v226 Important child qualities: good manners,V14 Children qualities: Good manners,iv15 Child qual: Good manners, , 
001_029,A029,"Important child qualities: independence 
",v15 Important child qualities: independence,v227 Important child qualities: independence,V15 Children qualities: Independence,v15 Child qual: Independence,V12 Child qualities: independence,V12 Important child qualities: independence
001_030,A030,"Important child qualities: hard work 
",v16 Important child qualities: hard work,v228 Important child qualities: hard work,V16 Children qualities: Hard work,v16 Child qual: Hard work,V13 Child qualities: hard work,V13 Important child qualities: Hard work
001_032,A032,"Important child qualities: feeling of responsibility 
",v17 Important child qualities: feeling of responsibility,v229 Important child qualities: feeling of responsibility,V17 Children qualities: Responsibility,v17 Child qual: Feeling of responsibility,V14 Child qualities: feeling of responsibility,V14 Important child qualities: Feeling of responsibility
001_034,A034,"Important child qualities: imagination 
",v18 Important child qualities: imagination,v230 Important child qualities: imagination,V18 Children qualities: Imagination,v18 Child qual: Imagination,V15 Child qualities: imagination,V15 Important child qualities: Imagination
001_035,A035,"Important child qualities: tolerance and respect for other people 
",v19 Important child qualities: tolerance and respect for other people,v231 Important child qualities: tolerance and respect for other people,V19 Children qualities: Tolerance and respect for other people,v19 Child qual: Tolerance and respect for other people,V16 Child qualities: tolerance and respect for other people,V16 Important child qualities: Tolerance and respect for other people
001_038,A038,"Important child qualities: thrift saving money and things 
",v20 Important child qualities: thrift saving money and things,v232 Important child qualities: thrift saving money and things,"V20 Children qualities: Thrift, saving money and things",v20 Child qual: Thrift saving money and things,V17 Child qualities: thrift saving money and things,V17 Important child qualities: Thrift saving money and things
001_039,A039,"Important child qualities: determination perseverance 
",v21 Important child qualities: determination perseverance,v233 Important child qualities: determination perseverance,"V21 Children qualities: Determination, perseverance",v21 Child qual: Determination perseverance,V18 Child qualities: determination perseverance,"V18 Important child qualities: Determination, perseverance"
001_040,A040,"Important child qualities: religious faith 
",v22 Important child qualities: religious faith,v234 Important child qualities: religious faith,V22 Children qualities: Religious faith,v22 Child qual: Religious faith,V19 Child qualities: religious faith,V19 Important child qualities: Religious faith
001_041,A041,"Important child qualities: unselfishness 
",v23 Important child qualities: unselfishness,v235 Important child qualities: unselfishness,V23 Children qualities: Unselfishness,v23 Child qual: Unselfishness,V20 Child qualities: unselfishness,V20 Important child qualities: Unselfishness
001_042,A042,"Important child qualities: obedience 
",v24 Important child qualities: obedience,v236 Important child qualities: obedience,V24 Children qualities: Obedience,v24 Child qual: Obedience,V21 Child qualities: obedience,V21 Important child qualities: Obedience
001_044,A043B,"Important child qualities: Self-expression 
", , , , , ,V22 Important child qualities: Self-expression
001_045,A044,"What children should learn 1 
", , ,V25 What children should learn 1, , , 
001_046,A045,"What children should learn 2 
", , ,V26 What children should learn 2, , , 
